VISUAL_Hyst,human_classification
44757.23631107608,-1
387937.34221960965,-1
4077961.1590084005,-1
42035.14747817332,-1
91834.3464525004,-1
389209.5867809432,-1
358560.82795456523,-1
96429.71870562257,-1
387191.43827151443,-1
146792.57300278943,-1
358463.98519195255,-1
421470.23620076384,-1
152451.24427173997,-1
202928.67017721894,-1
448686.34221468907,-1
224120.0734620191,-1
463106.4627068809,-1
4072672.7060923153,-1
3353521.2149696522,-1
453813.91687986784,-1
209561.85488049142,-1
275476.2447940478,-1
282444.83549428463,-1
333896.5177974114,-1
4220987.646042766,-1
340963.2076585435,-1
0.0,-1
326671.7042769049,-1
523249.4523866605,-1
4218127.079350618,-1
14087.662943979332,-1
3306739.105987743,-1
332753.60767255555,-1
392435.4301004079,-1
399597.42275581753,-1
451087.5491051459,-1
458278.4204887512,-1
585575.4084558928,-1
356994.9776741009,-1
3357470.7443811493,-1
4413988.683003013,-1
509682.57934979943,-1
495354.4272985921,-1
495358.8360874336,-1
4688415.71316548,-1
3355664.9226282355,-1
601343.5828377989,-1
2893482.3749502636,-1
617164.5526175033,-1
743452338.0955569,-1
568280.3223636651,-1
575469.9064639792,-1
626951.1859916116,-1
634154.829339211,-1
685659.3466061928,-1
3469803.5428364547,-1
5199258.609222443,-1
671429.0480135691,-1
692912.5951872354,-1
678832.3459359278,-1
678690.6133226639,-1
678883.436555578,-1
3468884.2363971807,-1
712884.1717285713,-1
5198737.586597398,-1
678694.9889619842,-1
678890.9866869902,-1
354567.7541324913,-1
16901744.0589518,-1
32727.114406097575,-1
395028.04761211004,-1
5198303.103253456,-1
744421.6131393482,-1
751676.8518666967,-1
803189.676069331,-1
810476.1498015563,-1
862044.695810519,-1
869345.37052216,-1
920899.2623903658,-1
928166.8802193549,-1
979702.2113825051,-1
986998.4143349101,-1
1038531.9906590414,-1
1024346.9795776049,-1
32737.922054270315,-1
3699260.4499000516,-1
1024315.0445295995,-1
922613.7303463074,-1
1031644.8379434352,-1
1031573.5820624966,-1
9091162.148906605,-1
1031768.1890387178,-1
1031826.8301501923,-1
6262490.792413698,-1
3695462.6551107336,-1
1031619.9808076101,-1
9781929.721981514,-1
32741.623545701612,-1
1031819.2970665862,-1
493363.7778677316,-1
395263.1321449375,-1
354567.7541324913,-1
395000.12719706306,-1
32744.93346908346,-1
354567.7541324913,-1
395000.12719706306,-1
354567.7541324913,-1
395000.12719706306,-1
354567.7541324913,-1
395000.12719706306,-1
3692564.64970069,-1
1097331.0355491021,-1
32736.13817942857,-1
1104620.5605758624,-1
1156179.6662110705,-1
1163484.0846619464,-1
1215027.092813152,-1
1222329.7883290197,-1
1273894.2901907184,-1
1281213.1652579347,-1
1332759.0696008666,-1
1340069.1262810046,-1
1391612.0123391717,-1
1398914.807562668,-1
1450482.6891528112,-1
1457798.3085262496,-1
1509351.630612023,-1
1516653.7337835536,-1
387998.14187125646,-1
316027.0276989584,-1
517458.41656081716,-1
4110178.011072187,-1
4364.4448948538575,-1
54087.344304530554,-1
510462.4542520634,-1
486220.4745612272,-1
59909.48856341605,-1
516835.28318935423,-1
110236.4000208793,-1
486448.5703695016,-1
406286.32415190624,-1
116347.59469944135,-1
166785.03056469213,-1
430259.7778903954,-1
187406.50574898298,-1
443017.81565433403,-1
4104652.207461656,-1
3383126.044329187,-1
453675.38564837445,-1
187613.148063026,-1
238734.27373286244,-1
245811.745607798,-1
297237.1847943198,-1
4252800.178617449,-1
304376.6968742529,-1
0.0,-1
304904.12269779004,-1
501214.87578835053,-1
4249979.014593846,-1
134692.34840986674,-1
3336049.744689199,-1
355824.8268427272,-1
363035.8072575732,-1
414486.8343540857,-1
421730.75569331256,-1
562486.3072998913,-1
485555.9577227381,-1
3386736.1678417674,-1
4445693.244802057,-1
473125.8499799958,-1
473522.2993346666,-1
473858.81122275937,-1
4720073.832356479,-1
3384931.0188108003,-1
578192.0714529803,-1
2921410.255341407,-1
593710.8514720965,-1
977259223.991151,-1
531727.0335571667,-1
538949.6921079338,-1
590408.4383429644,-1
597629.3361670916,-1
649118.5894513928,-1
3498959.162901735,-1
5230843.709458944,-1
649610.1858243457,-1
656384.2582283368,-1
657092.5800900337,-1
656884.0000767193,-1
656878.7210713832,-1
3498040.1923046927,-1
688679.3891946798,-1
5230330.197955888,-1
657220.4392035612,-1
657188.7281977169,-1
483571.5487777627,-1
755.1213922128975,1
516090.5232769259,-1
5229902.184245329,-1
707862.0416816865,-1
715144.3765233506,-1
766652.0207041806,-1
773933.9996661337,-1
825486.4622116919,-1
832802.9155413886,-1
884332.3609669528,-1
891603.4101265224,-1
943126.7130976325,-1
950426.2527492784,-1
1001931.6328291424,-1
1002467.3291022619,-1
944.5652005915599,1
3728237.1963237757,-1
1002444.895870173,-1
898264.2059518297,-1
1010117.1317376627,-1
1009999.7153382344,-1
9209423.695665963,-1
1009969.6489909458,-1
1010065.5751803658,-1
6293971.899303035,-1
3724456.427161871,-1
1009761.0450022684,-1
804.6567599168076,1
1009755.8545381811,-1
4220096.629646964,-1
516361.2626977462,-1
483571.5487777627,-1
516064.03821964934,-1
810.5283921968062,1
483571.5487777627,-1
